"시점","시도별(1)",총계
"시점","시도별(1)",총계
"2010.07","서울",3513
"2010.08","서울",4254
"2010.09","서울",1458
"2010.10","서울",1963
"2010.11","서울",1947
"2010.12","서울",10049
"2011.01","서울",7033
"2011.02","서울",4795
"2011.03","서울",1642
"2011.04","서울",5293
"2011.05","서울",2304
"2011.06","서울",4355
"2011.07","서울",6276
"2011.08","서울",3573
"2011.09","서울",4460
"2011.10","서울",7818
"2011.11","서울",8427
"2011.12","서울",9117
"2012.01","서울",5944
"2012.02","서울",4207
"2012.03","서울",3489
"2012.04","서울",4304
"2012.05","서울",5562
"2012.06","서울",5047
"2012.07","서울",4111
"2012.08","서울",6122
"2012.09","서울",6798
"2012.10","서울",6956
"2012.11","서울",6228
"2012.12","서울",6347
"2013.01","서울",5724
"2013.02","서울",4182
"2013.03","서울",3464
"2013.04","서울",3853
"2013.05","서울",5401
"2013.06","서울",6809
"2013.07","서울",3859
"2013.08","서울",5182
"2013.09","서울",7047
"2013.10","서울",8047
"2013.11","서울",9835
"2013.12","서울",6560
"2014.01","서울",5813
"2014.02","서울",4713
"2014.03","서울",6793
"2014.04","서울",8686
"2014.05","서울",9440
"2014.06","서울",4226
"2014.07","서울",5795
"2014.08","서울",7826
"2014.09","서울",3631
"2014.10","서울",8760
"2014.11","서울",4410
"2014.12","서울",4725
"2015.01","서울",5431
"2015.02","서울",3909
"2015.03","서울",3304
"2015.04","서울",7634
"2015.05","서울",4186
"2015.06","서울",5001
"2015.07","서울",5487
"2015.08","서울",6968
"2015.09","서울",6677
"2015.10","서울",5512
"2015.11","서울",4772
"2015.12","서울",5881
"2016.01","서울",8247
"2016.02","서울",5646
"2016.03","서울",5447
"2016.04","서울",7047
"2016.05","서울",7329
"2016.06","서울",6417
"2016.07","서울",7396
"2016.08","서울",8523
"2016.09","서울",6195
"2016.10","서울",3828
"2016.11","서울",6166
"2016.12","서울",14696
"2017.01","서울",5869
"2017.02","서울",5178
"2017.03","서울",6034
"2017.04","서울",6834
"2017.05","서울",4923
"2017.06","서울",5652
"2017.07","서울",6618
"2017.08","서울",7913
"2017.09","서울",6764
"2017.10","서울",3299
"2017.11","서울",5732
"2017.12","서울",5968
"2018.01","서울",4366
"2018.02","서울",4079
"2018.03","서울",4060
"2018.04","서울",4398
"2018.05","서울",6317
"2018.06","서울",6430
"2018.07","서울",5969
"2018.08","서울",4731
"2018.09","서울",5337
"2018.10","서울",8866
"2018.11","서울",6591
"2018.12","서울",16410
"2019.01","서울",4926
"2019.02","서울",12947
"2019.03","서울",2898
"2019.04","서울",4160
"2019.05","서울",4259
"2019.06","서울",6952
"2019.07","서울",5146
"2019.08","서울",4477
"2019.09","서울",10999
"2019.10","서울",3701
"2019.11","서울",5929
"2019.12","서울",8979
"2020.01","서울",5843
"2020.02","서울",10637
"2020.03","서울",6778
"2020.04","서울",7128
"2020.05","서울",5634
"2020.06","서울",6292
"2020.07","서울",6980
"2020.08","서울",6216
"2020.09","서울",10000
"2020.10","서울",2328
"2020.11","서울",4868
"2020.12","서울",8702
"2021.01","서울",5276
"2021.02","서울",10656
"2021.03","서울",5724
"2021.04","서울",3423
"2021.05","서울",4396
"2021.06","서울",5112
"2021.07","서울",7040
"2021.08","서울",5848
"2021.09","서울",4445
"2021.10","서울",3208
"2021.11","서울",6128
"2021.12","서울",10173
"2022.01","서울",6021
"2022.02","서울",3986
"2022.03","서울",6718
"2022.04","서울",5457
"2022.05","서울",3034
"2022.06","서울",3061
"2022.07","서울",2327
"2022.08","서울",8067
"2022.09","서울",1943
"2022.10","서울",4541
"2022.11","서울",4120
